год,пол,регион,количество
2008,Оба пола,Республика Беларусь,237356.0
2008,Оба пола,Брестская область,51979.0
2008,Оба пола,Витебская область,42909.0
2008,Оба пола,Гомельская область,68010.0
2008,Оба пола,Гродненская область,13608.0
2008,Оба пола,г. Минск,10066.0
2008,Оба пола,Минская область,13169.0
2008,Оба пола,Могилевская область,37615.0
2008,Женщины,Республика Беларусь,63744.0
2008,Женщины,Брестская область,14107.0
2008,Женщины,Витебская область,9771.0
2008,Женщины,Гомельская область,15562.0
2008,Женщины,Гродненская область,6904.0
2008,Женщины,г. Минск,4661.0
2008,Женщины,Минская область,3863.0
2008,Женщины,Могилевская область,8876.0
2008,Мужчины,Республика Беларусь,173612.0
2008,Мужчины,Брестская область,37872.0
2008,Мужчины,Витебская область,33138.0
2008,Мужчины,Гомельская область,52448.0
2008,Мужчины,Гродненская область,6704.0
2008,Мужчины,г. Минск,5405.0
2008,Мужчины,Минская область,9306.0
2008,Мужчины,Могилевская область,28739.0
2009,Оба пола,Республика Беларусь,273801.0
2009,Оба пола,Брестская область,57266.0
2009,Оба пола,Витебская область,48875.0
2009,Оба пола,Гомельская область,78587.0
2009,Оба пола,Гродненская область,16970.0
2009,Оба пола,г. Минск,14422.0
2009,Оба пола,Минская область,16117.0
2009,Оба пола,Могилевская область,41564.0
2009,Женщины,Республика Беларусь,76672.0
2009,Женщины,Брестская область,15375.0
2009,Женщины,Витебская область,11741.0
2009,Женщины,Гомельская область,19274.0
2009,Женщины,Гродненская область,8763.0
2009,Женщины,г. Минск,6555.0
2009,Женщины,Минская область,4959.0
2009,Женщины,Могилевская область,10005.0
2009,Мужчины,Республика Беларусь,197129.0
2009,Мужчины,Брестская область,41891.0
2009,Мужчины,Витебская область,37134.0
2009,Мужчины,Гомельская область,59313.0
2009,Мужчины,Гродненская область,8207.0
2009,Мужчины,г. Минск,7867.0
2009,Мужчины,Минская область,11158.0
2009,Мужчины,Могилевская область,31559.0
2010,Оба пола,Республика Беларусь,276567.0
2010,Оба пола,Брестская область,57366.0
2010,Оба пола,Витебская область,49068.0
2010,Оба пола,Гомельская область,83223.0
2010,Оба пола,Гродненская область,17927.0
2010,Оба пола,г. Минск,14214.0
2010,Оба пола,Минская область,14827.0
2010,Оба пола,Могилевская область,39942.0
2010,Женщины,Республика Беларусь,76668.0
2010,Женщины,Брестская область,15354.0
2010,Женщины,Витебская область,11505.0
2010,Женщины,Гомельская область,19175.0
2010,Женщины,Гродненская область,9981.0
2010,Женщины,г. Минск,7161.0
2010,Женщины,Минская область,4662.0
2010,Женщины,Могилевская область,8830.0
2010,Мужчины,Республика Беларусь,199899.0
2010,Мужчины,Брестская область,42012.0
2010,Мужчины,Витебская область,37563.0
2010,Мужчины,Гомельская область,64048.0
2010,Мужчины,Гродненская область,7946.0
2010,Мужчины,г. Минск,7053.0
2010,Мужчины,Минская область,10165.0
2010,Мужчины,Могилевская область,31112.0
2011,Оба пола,Республика Беларусь,476377.0
2011,Оба пола,Брестская область,99146.0
2011,Оба пола,Витебская область,76908.0
2011,Оба пола,Гомельская область,130651.0
2011,Оба пола,Гродненская область,19935.0
2011,Оба пола,г. Минск,60705.0
2011,Оба пола,Минская область,24863.0
2011,Оба пола,Могилевская область,64169.0
2011,Женщины,Республика Беларусь,122913.0
